ts,asset,dir,payout,score,min_conf,passed,atr_pctile,body_ratio,ema60_align,ema30_align,ema15_slope,microtrend_ok,result,pnl,resolve_source,health_score
2025-08-14T17:37:41,USDDZD_otc,call,93.0,0.65,0.6,1,35.0,0.97,1,0,0,1,WIN,93.0,hist,0.928
2025-08-14T17:40:40,AUDCHF_otc,call,90.0,0.65,0.6,1,42.5,0.43,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-14T17:42:34,AXSUSD_otc,put,90.0,0.65,0.6,1,53.3,0.77,1,0,0,1,WIN,90.0,hist,0.928
2025-08-14T17:44:13,TONUSD_otc,call,93.0,0.65,0.6,1,65.8,0.55,1,0,0,1,LOSS,-100.0,hist,0.927
2025-08-14T17:45:21,TONUSD_otc,call,93.0,0.65,0.6,1,68.3,0.66,1,0,0,1,WIN,93.0,hist,0.926
2025-08-14T17:46:43,NZDJPY_otc,call,87.0,0.65,0.64,1,44.2,0.74,1,0,0,1,WIN,87.0,hist,0.931
2025-08-14T17:48:17,USCrude_otc,put,89.0,0.65,0.64,1,55.0,0.77,1,0,0,1,WIN,89.0,hist,0.925
2025-08-14T17:49:27,MSFT_otc,call,87.0,0.65,0.64,1,46.7,0.79,1,0,0,1,WIN,87.0,hist,0.927
2025-08-14T17:51:54,TONUSD_otc,call,93.0,0.65,0.6,1,44.2,0.44,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-14T17:52:59,GBPJPY_otc,put,90.0,0.65,0.6,1,68.3,0.33,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-14T17:54:43,NZDUSD_otc,call,85.0,0.65,0.64,1,56.7,0.41,1,0,0,1,LOSS,-100.0,hist,0.925
2025-08-14T17:57:57,TONUSD_otc,call,93.0,0.65,0.6,1,46.7,1.0,1,0,0,1,WIN,93.0,hist,0.925
2025-08-14T18:00:10,NZDJPY_otc,call,87.0,0.65,0.64,1,65.8,0.98,1,0,0,1,LOSS,-100.0,hist,0.916
2025-08-14T18:00:14,EURJPY_otc,put,90.0,0.65,0.6,1,52.5,0.74,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-14T18:18:28,GALUSD_otc,call,93.0,0.65,0.6,1,48.3,0.94,1,0,0,1,WIN,93.0,hist,0.925
2025-08-14T19:24:08,AXSUSD_otc,put,91.0,0.65,0.6,1,65.0,0.68,1,0,0,1,WIN,91.0,hist,0.924
2025-08-14T19:27:13,AUDCAD_otc,call,90.0,0.65,0.6,1,38.3,0.69,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-14T19:27:21,CADJPY_otc,put,90.0,0.65,0.6,1,45.8,0.73,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T09:14:45,USDJPY_otc,call,92.0,0.65,0.6,1,73.3,0.74,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T09:18:57,NZDCHF_otc,put,89.0,0.65,0.64,1,65.0,0.62,1,0,0,1,WIN,89.0,hist,0.924
2025-08-15T09:20:40,DOGUSD_otc,call,88.0,0.65,0.64,1,55.8,0.78,1,0,0,1,WIN,88.0,hist,0.929
2025-08-15T09:23:09,XAGUSD_otc,put,89.0,0.65,0.64,1,75.0,0.77,1,0,0,1,LOSS,-100.0,hist,0.928
2025-08-15T09:24:54,USCrude_otc,call,89.0,0.65,0.64,1,72.5,0.37,1,0,0,1,LOSS,-100.0,hist,0.928
2025-08-15T10:46:52,USDARS_otc,call,92.0,0.65,0.6,1,77.5,0.79,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T10:47:05,WIFUSD_otc,put,93.0,0.65,0.6,1,51.7,0.99,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T12:44:28,GALUSD_otc,put,93.0,0.65,0.6,1,65.0,0.44,1,0,0,1,LOSS,-100.0,hist,0.923
2025-08-15T12:48:52,GBPUSD_otc,call,90.0,0.65,0.6,1,38.3,0.87,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T12:52:39,AUDUSD_otc,call,93.0,0.65,0.6,1,78.3,1.0,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T12:54:12,USDIDR_otc,put,86.0,0.65,0.64,1,68.3,0.59,1,0,0,1,WIN,86.0,hist,0.927
2025-08-15T12:55:58,ATOUSD_otc,put,88.0,0.65,0.64,1,40.8,0.77,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-15T12:58:36,USDZAR_otc,call,88.0,0.65,0.64,1,42.5,0.38,1,0,0,1,LOSS,-100.0,hist,0.929
2025-08-15T13:00:08,USDIDR_otc,put,91.0,0.65,0.6,1,73.3,0.89,1,0,0,1,LOSS,-100.0,hist,0.92
2025-08-15T13:21:43,ZECUSD_otc,put,92.0,0.65,0.6,1,52.5,0.51,1,0,0,1,WIN,92.0,hist,0.924
2025-08-15T13:24:50,EURCAD_otc,put,85.0,0.65,0.64,1,44.2,1.0,1,0,0,1,WIN,170.0,hist,0.926
2025-08-15T13:26:14,AUDCHF_otc,call,90.0,0.65,0.6,1,74.2,0.89,1,0,0,1,WIN,90.0,hist,0.927
2025-08-15T13:27:21,JNJ_otc,put,87.0,0.65,0.64,1,50.0,0.56,1,0,0,1,WIN,174.0,hist,0.928
2025-08-15T13:28:06,CADJPY_otc,put,90.0,0.65,0.6,1,45.8,0.66,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T13:29:57,DASUSD_otc,put,93.0,0.65,0.6,1,51.7,0.64,1,0,0,1,LOSS,-200.0,hist,0.927
2025-08-15T13:30:06,AUDUSD_otc,call,93.0,0.65,0.6,1,57.5,0.81,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T13:31:24,DOGUSD_otc,call,93.0,0.65,0.6,1,67.5,0.48,1,0,0,1,LOSS,-200.0,hist,0.924
2025-08-15T13:33:03,EURGBP,call,86.0,0.65,0.64,1,67.5,0.5,1,0,0,1,LOSS,-100.0,hist,0.548
2025-08-15T13:34:25,ZECUSD_otc,put,93.0,0.65,0.6,1,66.7,0.83,1,0,0,1,LOSS,-200.0,hist,0.924
2025-08-15T13:38:01,APTUSD_otc,put,93.0,0.65,0.6,1,48.3,0.42,1,0,0,1,WIN,93.0,hist,0.928
2025-08-15T13:40:14,TIAUSD_otc,call,93.0,0.65,0.6,1,41.7,0.81,1,0,0,1,LOSS,-200.0,hist,0.926
2025-08-15T13:44:47,BRLUSD_otc,put,93.0,0.65,0.6,1,38.3,0.57,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-15T13:46:22,BRLUSD_otc,put,93.0,0.65,0.6,1,37.5,0.52,1,0,0,1,LOSS,-200.0,hist,0.926
2025-08-15T13:48:42,XAUUSD_otc,put,89.0,0.65,0.64,1,45.8,0.68,1,0,0,1,LOSS,-100.0,hist,0.929
2025-08-15T13:50:32,INTC_otc,put,87.0,0.65,0.64,1,65.8,0.65,1,0,0,1,WIN,174.0,hist,0.926
2025-08-15T13:54:17,SOLUSD_otc,call,93.0,0.65,0.6,1,35.8,0.65,1,0,0,1,WIN,93.0,hist,0.928
2025-08-15T13:56:40,LINUSD_otc,call,93.0,0.65,0.6,1,45.8,0.47,1,0,0,1,LOSS,-200.0,hist,0.928
2025-08-15T13:58:21,LINUSD_otc,call,93.0,0.65,0.6,1,56.7,0.41,1,0,0,1,LOSS,-100.0,hist,0.926
2025-08-15T13:59:44,MSFT_otc,put,87.0,0.65,0.64,1,55.8,0.67,1,0,0,1,LOSS,-200.0,hist,0.925
2025-08-15T17:21:24,USCrude_otc,call,85.0,0.65,0.64,1,43.3,0.76,1,0,0,1,LOSS,-100.0,hist,0.927
2025-08-15T17:22:44,USDZAR_otc,call,90.0,0.65,0.6,1,54.2,0.96,1,0,0,1,WIN,90.0,hist,0.925
2025-08-15T17:24:40,EURSGD_otc,put,86.0,0.65,0.64,1,68.3,0.5,1,0,0,1,LOSS,-100.0,hist,0.928
2025-08-15T17:29:18,MSFT_otc,put,87.0,0.65,0.64,1,35.8,0.52,1,0,0,1,DRAW,0.0,none,0.916
2025-08-15T17:51:16,EURUSD_otc,call,93.0,0.65,0.6,1,63.3,0.64,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:51:31,EURUSD_otc,call,93.0,0.65,0.6,1,63.3,0.64,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:51:57,GBPAUD_otc,call,93.0,0.65,0.6,1,54.2,0.71,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:53:12,AUDCAD_otc,call,90.0,0.65,0.6,1,43.3,0.38,1,0,0,1,FAIL_EXEC,0.0,none,0.5
2025-08-15T17:55:20,BTCUSD_otc,put,93.0,0.65,0.6,1,45.0,0.8,1,0,0,1,LOSS,-100.0,hist,0.924
2025-08-15T17:56:32,TONUSD_otc,call,93.0,0.65,0.6,1,41.7,0.74,1,0,0,1,LOSS,-100.0,hist,0.925
