entry_ts,asset,dir,eval_tf_s,bars,in_favor,against,net_points
1755328244,ZECUSD_otc,call,15,2,1,1,-0.010000000000005116
1755328449,TRUUSD_otc,call,15,2,0,2,-0.02200000000000024
1755329287,APTUSD_otc,put,15,2,0,2,-0.012000000000000455
1755329561,APTUSD_otc,put,15,2,0,2,-0.012000000000000455
1755330198,USDJPY_otc,call,15,2,1,1,0.025999999999982037
1755330540,FB_otc,call,15,2,0,2,-0.15999999999996817
1755330706,DOTUSD_otc,call,15,2,1,1,0.01200000000000001
1755330922,USDCHF_otc,call,15,2,1,1,-2.999999999997449e-05
1755331553,BEAUSD_otc,put,15,2,1,1,4.999999999999796e-06
1755331647,AUDCHF_otc,put,15,2,1,1,4.0000000000040004e-05
1755331797,USDNGN_otc,put,15,2,0,1,-0.2699999999999818
1755331850,JNJ_otc,call,15,2,1,1,-0.008000000000009777
1755332004,MANUSD_otc,put,15,2,1,1,-0.0014000000000000679
1755332101,MANUSD_otc,call,15,2,1,1,0.0014000000000000679
1755332278,DASUSD_otc,put,15,2,1,1,-0.002999999999996561
1755332456,EURAUD_otc,call,15,2,0,2,-0.000660000000000105
1755332790,PEPUSD_otc,put,15,2,0,1,-1.999999999999981e-08
1755332993,USDCHF_otc,put,15,2,0,2,-0.00020999999999993246
1755333199,GBPAUD_otc,put,15,2,1,1,9.999999999976694e-05
1755333377,EURSGD_otc,put,15,2,0,0,0.0
1755333715,AVAUSD_otc,put,15,2,0,1,-0.004999999999999005
1755334246,DASUSD_otc,call,15,2,2,0,0.030000000000001137
1755334400,ARBUSD_otc,call,15,2,2,0,0.00042999999999998595
1755334725,AUDCAD_otc,put,15,2,1,1,0.00012999999999996348
1755334877,AXSUSD_otc,call,15,2,1,0,9.999999999976694e-05
1755335257,USDCHF_otc,put,15,2,1,1,-2.0000000000020002e-05
1755335404,ARBUSD_otc,call,15,2,0,2,-0.00035999999999997145
1755335617,USDARS_otc,call,15,2,1,1,0.060000000000172804
1755335986,NZDCAD_otc,call,15,2,2,0,0.000260000000000038
1755336137,APTUSD_otc,put,15,2,1,1,0.0
1755340155,TRXUSD_otc,put,15,2,1,1,0.0013000000000000234
1755341405,NOTUSD_otc,put,15,2,1,1,-1.899999999999992e-05
1755341779,AUDUSD_otc,call,15,2,1,1,0.00029999999999996696
1755342209,EURUSD_otc,call,15,2,2,0,0.00018999999999991246
1755342879,USDJPY_otc,call,15,2,1,1,-2.842170943040401e-14
1755344785,AUDCAD_otc,put,15,2,2,0,6.0000000000060005e-05
1755344868,BCHUSD_otc,put,15,2,1,1,0.15999999999996817
1755345431,SHIUSD_otc,put,15,2,0,0,0.0
1755345865,INTC_otc,put,15,2,1,1,-0.026000000000003354
1755346796,BTCUSD_otc,call,15,2,2,0,13.160000000003492
1755346943,LINUSD_otc,put,15,2,2,0,0.027000000000001023
1755347018,ARBUSD_otc,put,15,2,1,1,-0.00015999999999999348
1755347743,EURUSD_otc,call,15,2,0,2,-0.00017999999999984695
1755347816,ARBUSD_otc,put,15,2,2,0,0.00018999999999996797
1755347945,SOLUSD_otc,put,15,2,2,0,0.12999999999999545
1755348094,ADAUSD_otc,call,15,2,2,0,0.000280000000000058
1755348446,AUDNZD_otc,call,15,2,2,0,0.00048000000000003595
1755349020,AXSUSD_otc,call,15,2,1,1,0.0005999999999999339
1755349187,NOTUSD_otc,call,15,2,1,1,2.999999999999531e-06
1755349357,SHIUSD_otc,call,15,2,2,0,8.999999999999914e-08
1755349432,AUDUSD_otc,call,15,2,1,1,-9.00000000000345e-05
1755349970,GALUSD_otc,put,15,2,1,0,0.0003999999999999976
1755350616,ETCUSD_otc,put,15,2,1,1,0.01699999999999946
1755352636,BNBUSD_otc,put,15,2,1,0,0.4800000000000182
1755354260,APTUSD_otc,put,15,2,1,0,0.01499999999999968
1755356602,BONUSD_otc,put,15,2,1,1,-9.99999999999821e-09
1755356697,AVAUSD_otc,call,15,2,0,1,-0.0030000000000001137
1755356969,NZDCHF_otc,put,15,2,2,0,9.999999999998899e-05
1755357750,TONUSD_otc,put,15,2,1,1,0.0040000000000000036
1755364368,USDBDT_otc,call,15,2,1,1,0.0049999999999954525
1755364806,XRPUSD_otc,call,15,2,2,0,0.0027000000000003688
1755365141,MELUSD_otc,call,15,2,0,2,-0.00035000000000001696
1755396556,ZECUSD_otc,put,15,2,1,0,0.18999999999999773
1755402004,XRPUSD_otc,call,15,2,1,1,0.0024000000000001798
1755402675,BRLUSD_otc,put,15,2,1,1,7.00000000000145e-05
1755403987,BONUSD_otc,put,15,2,1,0,3.999999999999962e-08
1755404455,PFE_otc,call,15,2,0,2,-0.01799999999999713
1755405765,GBPAUD_otc,put,15,2,0,2,-0.00022999999999973042
1755406105,DOGUSD_otc,call,15,2,1,1,-0.00021999999999999797
1755407437,XRPUSD_otc,put,15,2,1,0,0.0006999999999997009
1755409179,BRLUSD_otc,put,15,2,2,0,6.0000000000004494e-05
1755410294,ARBUSD_otc,put,15,2,2,0,0.00012000000000000899
1755410716,EURAUD_otc,call,15,2,1,1,-8.000000000008001e-05
1755410985,AXSUSD_otc,put,15,2,1,1,-0.00040000000000040004
1755411123,CADJPY_otc,call,15,2,1,1,-0.0040000000000048885
1755411275,JNJ_otc,put,15,2,0,1,-0.0049999999999954525
1755411524,PFE_otc,call,15,2,1,1,0.0010000000000012221
1755411797,MSFT_otc,call,15,2,1,1,0.012000000000000455
1755413645,BRLUSD_otc,call,15,2,1,1,6.0000000000004494e-05
1755413735,ZECUSD_otc,call,15,2,2,0,0.3900000000000077
1755413816,AXSUSD_otc,call,15,2,0,2,-0.0032999999999998586
1755413927,EURGBP_otc,put,15,2,1,1,-0.00021000000000004349
1755414010,AUDCAD_otc,put,15,2,2,0,0.00026999999999999247
1755414214,ADAUSD_otc,call,15,2,0,1,-1.0000000000065512e-05
1755414314,GALUSD_otc,call,15,2,1,1,-0.0009000000000000015
1755414409,MANUSD_otc,call,15,2,1,1,-9.999999999998899e-05
1755414536,FLOUSD_otc,put,15,2,1,0,4.000000000000639e-08
1755414634,TRUUSD_otc,call,15,2,0,2,-0.019000000000000128
1755414780,NOTUSD_otc,put,15,2,0,2,-9.000000000000002e-06
1755414905,TRXUSD_otc,call,15,2,2,0,0.0013999999999999846
1755415042,DASUSD_otc,call,15,2,2,0,0.01699999999999946
1755415234,EURGBP_otc,call,15,2,2,0,9.00000000000345e-05
1755415319,USDPHP_otc,put,15,2,1,1,-0.0020000000000024443
1755415512,PFE_otc,call,15,2,2,0,0.015000000000000568
1755417259,MANUSD_otc,put,15,2,1,0,0.0008000000000000229
1755417441,WIFUSD_otc,put,15,2,1,1,0.0
1755417558,XRPUSD_otc,call,15,2,0,2,-0.00849999999999973
1755417697,EURUSD_otc,put,15,2,1,1,0.00021999999999988695
1755417993,SHIUSD_otc,call,15,2,1,1,1.999999999999981e-08
1755418088,EURUSD_otc,put,15,2,1,1,0.00018999999999991246
1755418274,DOGUSD_otc,put,15,2,1,1,1.9999999999992246e-05
1755418595,BNBUSD_otc,put,15,2,2,0,0.2099999999999227
1755419069,SOLUSD_otc,call,15,2,0,1,-0.12000000000000455
1755419300,ARBUSD_otc,call,15,2,2,0,0.00025999999999998247
1755419389,WIFUSD_otc,put,15,2,2,0,0.00025999999999992696
1755425812,USDJPY_otc,call,15,2,1,1,0.004000000000019099
1755426138,USDCHF_otc,put,15,2,2,0,0.0005600000000000049
1755426644,AUDNZD_otc,put,15,2,2,0,0.0008100000000001994
1755426962,TRXUSD_otc,call,15,2,1,1,-0.00019999999999997797
1755427482,TONUSD_otc,put,15,2,0,2,-0.006000000000000227
1755429147,BRLUSD_otc,call,15,2,0,1,-0.00023999999999999022
1755429478,APTUSD_otc,call,15,2,2,0,0.019999999999999574
1755429865,EURNZD_otc,put,15,2,1,1,-0.00032999999999994145
1755430130,AUDUSD_otc,put,15,2,0,2,-0.00013999999999991797
1755430406,XRPUSD_otc,call,15,2,0,1,-0.0028999999999999027
1755431704,GBPCAD_otc,put,15,2,1,1,0.00012000000000012001
1755432187,PFE_otc,call,15,2,2,0,0.028999999999999915
1755432489,WIFUSD_otc,call,15,2,0,2,-0.00029999999999996696
1755432919,USDCHF_otc,put,15,2,1,1,-9.99999999995449e-06
1755433439,USDJPY_otc,call,15,2,1,1,0.015999999999991132
1755433736,HMSUSD_otc,put,15,2,1,1,2.0000000000098064e-08
1755433973,BA_otc,put,15,2,1,0,0.19999999999998863
1755434043,MELUSD_otc,call,15,2,1,1,-0.0003700000000000092
1755434286,UKBrent_otc,put,15,2,0,2,-0.022999999999996135
1755435043,FB_otc,call,15,2,1,1,0.06999999999999318
1755435081,DASUSD_otc,call,15,2,1,1,-0.022000000000002018
1755435346,LINUSD_otc,put,15,2,0,2,-0.007999999999999119
1755435372,AUDNZD_otc,put,15,2,1,1,-0.00017000000000000348
1755435548,BEAUSD_otc,put,15,2,1,1,-3.0000000000012655e-06
1755435640,MANUSD_otc,call,15,2,1,1,-0.00029999999999996696
1755435919,AVAUSD_otc,put,15,2,0,2,-0.023999999999997357
1755436325,UKBrent_otc,put,15,2,1,1,-0.006999999999997897
1755436421,AXSUSD_otc,call,15,2,1,1,0.0013000000000000789
1755436428,AXSUSD_otc,call,15,2,1,1,0.0013000000000000789
1755436893,TONUSD_otc,put,15,2,0,2,-0.008000000000000007
1755437040,DASUSD_otc,call,15,2,1,1,-0.009000000000000341
1755437268,GBPNZD_otc,call,15,2,2,0,0.0009200000000000319
1755437593,ARBUSD_otc,call,15,2,0,2,-0.0007500000000000284
1755437898,AUDCHF_otc,call,15,2,2,0,0.00017999999999995797
1755438243,XRPUSD_otc,call,15,2,1,1,0.004799999999999471
1755438561,DOGUSD_otc,call,15,2,1,1,0.00012999999999999123
1755438577,DOGUSD_otc,call,15,2,0,2,-0.00018000000000001348
1755438883,USDCAD_otc,call,15,2,1,1,4.0000000000040004e-05
1755438913,ADAUSD_otc,call,15,2,2,0,0.00019000000000002348
1755439206,DASUSD_otc,call,15,2,1,0,0.003999999999997783
1755439265,BCHUSD_otc,call,15,2,0,2,-0.2799999999999727
1755439295,USDJPY_otc,put,15,2,2,0,0.051000000000016144
1755439579,USDARS_otc,call,15,2,1,1,0.05999999999994543
1755439846,EURUSD_otc,call,15,2,0,2,-0.000180000000000069
1755440109,NZDUSD_otc,call,15,2,2,0,0.00014999999999998348
1755440414,NOTUSD_otc,put,15,2,0,1,-1.100000000000005e-05
1755440448,GBPJPY_otc,put,15,2,1,1,-0.009999999999990905
1755440736,AUDUSD_otc,put,15,2,2,0,0.00017999999999995797
1755441314,PEPUSD_otc,call,15,2,2,0,5.999999999999943e-08
1755441643,USDBDT_otc,call,15,2,0,2,-0.0049999999999954525
1755441959,MANUSD_otc,call,15,2,2,0,0.0005000000000000004
1755442243,BCHUSD_otc,put,15,2,1,1,-0.25
1755442484,EURCAD_otc,call,15,2,1,1,-7.00000000000145e-05
1755442764,TRXUSD_otc,call,15,2,1,1,0.001899999999999985
1755442778,UKBrent_otc,put,15,2,2,0,0.060000000000002274
1755443056,TRXUSD_otc,call,15,2,1,1,0.0007000000000000062
1755443333,PFE_otc,put,15,2,0,1,-0.07600000000000051
1755443535,ZECUSD_otc,put,15,2,1,0,0.12999999999999545
1755443590,AXSUSD_otc,call,15,2,2,0,0.0020999999999999908
1755443912,CADCHF_otc,call,15,2,2,0,0.000140000000000029
1755483526,ZECUSD_otc,put,15,2,1,1,0.1599999999999966
1755484542,ETHUSD_otc,put,15,2,1,1,0.11999999999898137
1755485842,XAGUSD_otc,call,15,2,1,1,-0.0005999999999986017
1755486436,TONUSD_otc,call,15,2,1,1,0.008999999999999897
1755487907,ZECUSD_otc,put,15,2,0,2,-0.45000000000000284
1755488549,TRUUSD_otc,call,15,2,1,1,-0.0030000000000001137
1755501447,BCHUSD_otc,put,15,2,1,1,0.08999999999991815
1755501458,BTCUSD_otc,put,15,2,0,2,-4.819999999977881
1755501843,TRUUSD_otc,put,15,2,1,1,-0.009000000000000341
1755502829,ATOUSD_otc,put,15,2,0,2,-0.0039999999999995595
1755503284,AVAUSD_otc,call,15,2,2,0,0.019000000000001904
1755504680,TRUUSD_otc,put,15,2,2,0,0.019999999999999574
1755506120,XRPUSD_otc,put,15,2,2,0,0.006899999999999906
1755506663,XRPUSD_otc,put,15,2,1,0,0.0041999999999999815
1755748592,DOTUSD_otc,put,15,2,2,0,0.0129999999999999
1755749543,ZECUSD_otc,call,15,2,1,1,0.030000000000001137
